tool;nthreads;size;repetitions;usec
Pthreads;1;2000000;4000;27461874
Pthreads;2;2000000;4000;14170823
Pthreads;4;2000000;4000;7823379
Pthreads;1;8000000;6000;55444851
Pthreads;2;8000000;6000;29899309
Pthreads;4;8000000;6000;16790290
Pthreads;1;2000000;8000;55444851
Pthreads;2;2000000;8000;29899309
Pthreads;4;2000000;8000;16790290
Pthreads;1;1000000;6000;20994381
Pthreads;2;1000000;6000;10702701
Pthreads;4;1000000;6000;6185486
OpenMP;1;2000000;4000;27667958
OpenMP;2;2000000;4000;14251928
OpenMP;4;2000000;4000;7871141
OpenMP;1;8000000;6000;165460232
OpenMP;2;8000000;6000;87581877
OpenMP;4;8000000;6000;49240253
OpenMP;1;2000000;8000;55939040
OpenMP;2;2000000;8000;28385717
OpenMP;4;2000000;8000;17875903
OpenMP;1;1000000;6000;20444441
OpenMP;2;1000000;6000;10616220
OpenMP;4;1000000;6000;5844937
